pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,8.772727499948815,9.75710079993587,9.75710079993587,9.75710079993587,9.75710079993587,9.773597699939273,10.757216600002721,10.757216600002721,x,1,0.7821579000446945,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
150,v,0,1,1,1,,,,,11.556738900020719,12.54049759998452,12.54049759998452,12.54049759998452,12.54049759998452,12.55690029996913,13.557648799964227,13.557648799964227,v,1,0.825920999981463,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
50,c,0,2,2,2,,,,,14.407096599927172,15.407677099923603,15.407677099923603,15.407677099923603,15.407677099923603,15.407677099923603,16.408048199955374,16.408048199955374,c,1,0.33482300001196563,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
-150,z,0,3,3,3,,,,,16.77502329996787,17.773897200007923,17.773897200007923,17.773897200007923,17.773897200007923,17.773897200007923,18.774135899962857,18.774135899962857,z,1,0.4256312999641523,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
-50,x,1,0,4,0,,,,,19.22400559997186,20.224369199946523,20.224369199946523,20.224369199946523,20.224369199946523,20.224369199946523,21.224765999941155,21.224765999941155,x,1,0.6414214000105858,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
150,v,1,1,5,1,,,,,21.890286899986677,22.89057689998299,22.89057689998299,22.89057689998299,22.89057689998299,22.89057689998299,23.891034899977967,23.891034899977967,v,1,0.3019072999013588,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
50,c,1,2,6,2,,,,,24.223797000013292,25.20766369998455,25.20766369998455,25.20766369998455,25.20766369998455,25.224107099929824,26.20674269995652,26.20674269995652,c,1,0.42154399992432445,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
-150,z,1,3,7,3,,,,,26.65677310002502,27.641105799935758,27.641105799935758,27.641105799935758,27.641105799935758,27.657184300012887,28.6409034000244,28.6409034000244,z,1,0.3638944999547675,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
-50,x,2,0,8,0,,,,,29.024430599994957,30.02401579997968,30.02401579997968,30.02401579997968,30.02401579997968,30.02401579997968,31.024412099970505,31.024412099970505,x,1,0.32221829995978624,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
150,v,2,1,9,1,,,,,31.37322690000292,32.37479029991664,32.37479029991664,32.37479029991664,32.37479029991664,32.37479029991664,33.35716739995405,33.35716739995405,v,1,0.342629799968563,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
50,c,2,2,10,2,,,,,33.72425630001817,34.723825499997474,34.723825499997474,34.723825499997474,34.723825499997474,34.723825499997474,35.72386929998174,35.72386929998174,c,1,0.34197449998464435,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
-150,z,2,3,11,3,,,,,36.09048699995037,37.09037579991855,37.09037579991855,37.09037579991855,37.09037579991855,37.09037579991855,38.09002739994321,38.09002739994321,z,1,0.27301949996035546,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
-50,x,3,0,12,0,,,,,38.38987710000947,39.39032539993059,39.39032539993059,39.39032539993059,39.39032539993059,39.39032539993059,40.38999219995458,40.38999219995458,x,1,0.3397294000023976,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
150,v,3,1,13,1,,,,,40.75657389999833,41.74173080001492,41.74173080001492,41.74173080001492,41.74173080001492,41.75660790002439,42.73966630001087,42.73966630001087,v,1,0.39795200002845377,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
50,c,3,2,14,2,,,,,43.15698849991895,44.15645369992126,44.15645369992126,44.15645369992126,44.15645369992126,44.15645369992126,45.15637440001592,45.15637440001592,c,1,0.338656899984926,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
-150,z,3,3,15,3,,,,,45.52409229998011,46.5250213999534,46.5250213999534,46.5250213999534,46.5250213999534,46.5250213999534,47.506491099949926,47.506491099949926,z,1,0.33428760000970215,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
-50,x,4,0,16,0,,,,,47.87330799992196,48.873636099975556,48.873636099975556,48.873636099975556,48.873636099975556,48.873636099975556,49.87332879996393,49.87332879996393,x,1,1.1997242999495938,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
150,v,4,1,17,1,,,,,51.08949409995694,52.08997620001901,52.08997620001901,52.08997620001901,52.08997620001901,52.08997620001901,53.07468760001939,53.07468760001939,v,1,1.2236140000168234,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
