,seqRT,,,ranRT,,,seqRT,ranRT
key_resp.corr,key_resp.rt,,key_resp.corr,key_resp.rt,,,0.7821579,0.3402891
1,0.0916769,,1,0.5628075,,,0.2892767,0.7133829
1,0.3526812,,1,0.6242639,,,0.4423002,0.9891012
1,0.2892767,,1,0.8119579,,,0.4239893,0.7197179
1,0.4423002,,1,0.7842358,,,0.3051002,1.4608579
1,0.4239893,,1,0.7888488,,,0.3384354,1.0951528
1,0.3051002,,1,0.7133829,,,0.5825123,0.6413291
1,0.3384354,,1,0.9891012,,,0.4469347,1.051314
1,0.5825123,,1,0.7197179,,,0.3303488,0.6005046
1,0.4469347,,1,1.4608579,,,0.2482987,0.5399575
1,0.3303488,,1,1.0951528,,,0.2737397,0.811884
1,0.2482987,,1,0.6413291,,,0.2777443,0.7194573
1,0.2737397,,1,1.051314,,,0.1973631,0.5736523
1,0.2777443,,1,0.6005046,,,0.2757594,0.5863966
1,0.1973631,,1,0.5399575,,,0.4777377,0.6984122
1,0.2757594,,1,0.811884,,,0.4315225,0.6791932
1,0.4777377,,1,0.7194573,,,0.0321958,0.6724135
1,0.4315225,,1,0.5736523,,,0.3341144,0.523425
1,0.0321958,,1,0.5863966,,,0.1733176,0.8176526
1,0.3341144,,1,0.6984122,,,0.0682331,0.6879701
1,0.1733176,,1,0.6791932,,,0.7289739,0.5727931
1,0.0682331,,1,0.6724135,,,0.3255917,0.6991891
1,0.7289739,,1,0.523425,,,0.4645617,0.862337
1,0.3255917,,1,0.8176526,,,0.3261626,0.6721508
1,0.4645617,,1,0.6879701,,,0.1675341,0.5931879
1,0.3261626,,1,0.5727931,,,0.3553251,0.8164159
1,0.1675341,,1,0.6991891,,,0.2716946,0.7916767
1,0.3553251,,1,0.862337,,,0.2742416,0.7087106
1,0.2716946,,1,0.6721508,,,0.2563636,0.6838352
1,0.2742416,,1,0.5931879,,,0.334404,0.5880783
1,0.2563636,,1,0.8164159,,,0.2852442,0.6160567
1,0.334404,,1,0.7916767,,,0.583423,0.6503119
1,0.2852442,,1,0.7087106,,,0.302503,0.7006071
1,0.583423,,1,0.6838352,,,0.5295954,0.6513146
1,0.302503,,1,0.5880783,,,0.4559437,0.875217
1,0.5295954,,1,0.6160567,,,0.3763614,0.7011144
1,0.4559437,,1,0.6503119,,,0.8100227,0.7470321
1,0.3763614,,1,0.7006071,,,0.4169148,1.1046161
1,0.8100227,,1,0.6513146,,,0.3142467,0.6664501
1,0.4169148,,1,0.875217,,,0.3946789,0.6672686
1,0.3142467,,1,0.7011144,,,0.1910167,1.7488955
1,0.3946789,,1,0.7470321,,,0.3178059,0.6914941
1,0.1910167,,1,1.1046161,,,0.2990631,0.594058
1,0.3178059,,1,0.6664501,,,0.3159081,0.7444619
1,0.2990631,,1,0.6672686,,,0.0595149,0.5955591
1,0.3159081,,1,1.7488955,,,0.3633577,0.8873651
1,0.0595149,,1,0.6914941,,,0.898623,0.7814857
1,0.3633577,,1,0.594058,,,0.2477599,0.6641304
1,0.898623,,1,0.7444619,,,0.3418201,0.5777734
1,0.2477599,,1,0.5955591,,,0.3590928,0.5061507
1,0.3418201,,1,0.8873651,,,1.0177347,0.5445212
1,0.3590928,,1,0.7814857,,,0.542114,0.5337388
1,1.0177347,,1,0.6641304,,,0.6306033,0.7129184
1,0.542114,,1,0.5777734,,,0.4373493,0.6445918
1,0.6306033,,1,0.5061507,,,0.8177003,0.6544301
1,0.4373493,,1,0.5445212,,,0.4737632,0.7322733
1,0.8177003,,1,0.5337388,,,0.5969893,0.7180134
1,0.4737632,,1,0.7129184,,,0.4040828,0.5097525
1,0.5969893,,1,0.6445918,,,0.5777604,0.8855358
1,0.4040828,,1,0.6544301,,,0.4501262,0.5687395
1,0.5777604,,1,0.7322733,,,0.4436112,0.7259289
1,0.4501262,,1,0.7180134,,,0.3038002,0.7867669
1,0.4436112,,1,0.5097525,,,0.3673532,0.9773596
1,0.3038002,,1,0.8855358,,,0.3218257,0.8145386
1,0.3673532,,1,0.5687395,,,0.3131723,0.921151
1,0.3218257,,1,0.7259289,,,0.4557272,0.6719084
1,0.3131723,,1,0.7867669,,,0.4088237,0.7364225
1,0.4557272,,1,0.9773596,,,0.4010096,0.8693475
1,0.4088237,,1,0.8145386,,,0.4218717,0.6736141
1,0.4010096,,1,0.921151,,,0.554901,0.6480243
1,0.4218717,,1,0.6719084,,,0.2972707,0.8810132
1,0.554901,,1,0.7364225,,,0.3840663,0.7041321
1,0.2972707,,1,0.8693475,,,0.4222375,0.9159889
1,0.3840663,,1,0.6736141,,,0.2804447,0.9540664
1,0.4222375,,1,0.6480243,,,0.5217311,0.692885
1,0.2804447,,1,0.8810132,,,0.499748,0.6887111
1,0.5217311,,1,0.7041321,,,0.5513791,0.9084361
1,0.499748,,1,0.9159889,,,1.7435477,0.8210306
1,0.5513791,,1,0.9540664,,,0.5896667,0.6782984
1,1.7435477,,1,0.692885,,,0.2341212,0.8016785
1,0.5896667,,1,0.6887111,,,0.5672306,0.6526146
1,0.2341212,,1,0.9084361,,,0.4181844,0.5940403
1,0.5672306,,1,0.8210306,,,0.4200361,1.2367699
1,0.4181844,,1,0.6782984,,,0.3510728,0.6046959
1,0.4200361,,1,0.8016785,,,0.4216785,0.6181382
1,0.3510728,,1,0.6526146,,,0.6383904,0.5082907
1,0.4216785,,1,0.5940403,,,0.3303847,0.6669921
1,0.6383904,,1,1.2367699,,,0.4199212,0.6686707
1,0.3303847,,1,0.6046959,,,0.4259645,0.5793286
1,0.4199212,,1,0.6181382,,,0.9127496,0.4737533
1,0.4259645,,1,0.5082907,,,1.2155109,0.5770946
1,0.9127496,,1,0.6669921,,,0.3710649,0.8282726
1,1.2155109,,1,0.6686707,,,0.3303918,0.6118445
1,0.3710649,,1,0.5793286,,,0.315444,0.6595696
1,0.3303918,,1,0.4737533,,,0.2550736,
1,0.315444,,1,0.5770946,,,0.3786955,
1,0.2550736,,1,0.8282726,,,0.8615727,
1,0.3786955,,1,0.6118445,,MEAN,0.387986487,0.724722204
1,0.8615727,,1,0.6595696,,,,
,,,,,,DIFF,0.336735717,
